,country,continent,population,day,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
70,Fiji,Oceania,909466.0,2025-07-28,1006.0,55.32692307692308,69117.0,67226.0,75997.0,973.0,885.0,739866.0,672883.0
71,Finland,Europe,5554960.0,2025-07-28,170.0,55.32692307692308,1516117.0,1503989.0,272930.0,2153.0,11958.0,2179850.0,12108977.0
72,France,Europe,65584518.0,2025-07-28,0.0,55.32692307692308,40138560.0,39970918.0,612013.0,2556.0,167642.0,4139547.0,271490188.0
73,French-Guiana,South-America,314169.0,2025-07-28,86367.0,6.0,98041.0,11254.0,312065.0,1337.0,420.0,2072951.0,651257.0
74,French-Polynesia,Oceania,284164.0,2025-07-28,33602.818681318684,55.32692307692308,79254.0,3097055.0276243095,278902.0,2287.0,650.0,2155977.8779342724,32988287.854460094
75,Gabon,Africa,2331533.0,2025-07-28,70.0,55.32692307692308,49051.0,48674.0,21038.0,132.0,307.0,695641.0,1621909.0
76,Gambia,Africa,2558482.0,2025-07-28,65.0,55.32692307692308,12626.0,12189.0,4935.0,145.0,372.0,60851.0,155686.0
77,Georgia,Asia,3968738.0,2025-07-28,33602.818681318684,55.32692307692308,1861665.0,3097055.0276243095,469082.0,4317.0,17132.0,4263340.0,16920079.0
78,Germany,Europe,83883596.0,2025-07-28,405368.0,55.32692307692308,38828995.0,38240600.0,462891.0,2182.0,183027.0,1458359.0,122332384.0
79,Ghana,Africa,32395450.0,2025-07-28,2.0,55.32692307692308,171889.0,170425.0,5306.0,45.0,1462.0,78456.0,2541625.0
80,Gibraltar,Europe,33704.0,2025-07-28,33602.818681318684,55.32692307692308,20550.0,3097055.0276243095,609720.0,3353.0,113.0,15852213.0,534283.0
81,Greece,Europe,10316637.0,2025-07-28,33602.818681318684,55.32692307692308,6101379.0,3097055.0276243095,591412.0,3671.0,37869.0,9909078.0,102228365.0
82,Greenland,North-America,56973.0,2025-07-28,9189.0,4.0,11971.0,2761.0,210117.0,369.0,21.0,2894810.0,164926.0
83,Grenada,North-America,113475.0,2025-07-28,97.0,4.0,19693.0,19358.0,173545.0,2097.0,238.0,1612523.0,182981.0
84,Guadeloupe,North-America,399794.0,2025-07-28,33602.818681318684,55.32692307692308,203235.0,3097055.0276243095,508349.0,2554.0,1021.0,2346306.0,938039.0
85,Guatemala,North-America,18584039.0,2025-07-28,1113.0,5.0,1291293.0,1269891.0,69484.0,1092.0,20289.0,408622.0,7593848.0
86,Guinea,Africa,13865691.0,2025-07-28,347.0,55.32692307692308,38572.0,37757.0,2782.0,34.0,468.0,47607.0,660107.0
87,Guinea-Bissau,Africa,2063367.0,2025-07-28,508.0,6.0,9614.0,8929.0,4659.0,86.0,177.0,70385.0,145231.0
88,Guyana,South-America,794045.0,2025-07-28,824.0,55.32692307692308,74137.0,72013.0,93366.0,1637.0,1300.0,923396.0,733218.0
89,Haiti,North-America,11680283.0,2025-07-28,73.0,55.32692307692308,34667.0,33734.0,2968.0,74.0,860.0,11337.0,132422.0
90,Honduras,North-America,10221247.0,2025-07-28,33602.818681318684,55.32692307692308,474590.0,3097055.0276243095,46432.0,1092.0,11165.0,162472.0,1660662.0
91,Hong-Kong,Asia,7604299.0,2025-07-28,6680.0,55.32692307692308,2937609.0,2916005.0,386309.0,1963.0,14924.0,10011143.0,76127725.0
92,Hungary,Europe,9606259.0,2025-07-28,29029.0,55.32692307692308,2230232.0,2152155.0,232164.0,5106.0,49048.0,1186160.0,11394556.0
93,Iceland,Europe,345393.0,2025-07-28,33602.818681318684,55.32692307692308,209906.0,3097055.0276243095,607731.0,663.0,229.0,5780036.0,1996384.0
94,India,Asia,1406631776.0,2025-07-28,33602.818681318684,55.32692307692308,45035393.0,3097055.0276243095,32016.0,379.0,533570.0,665334.0,935879495.0
